Código de Serviço;Descrição do Serviço (TI-IDEAL);Serviço Correspondente (Tabela IR Fonte);% IR Fonte;Fundamento Legal;Sujeito à Retenção de IR?
08.02.10;ensino de idiomas;Ensino;1,50%;art. 647 RIR/1999;SIM
08.02.15;instrução e treinamento à distância;Ensino;1,50%;art. 647 RIR/1999;SIM
08.02.16;ensino à distância - cursos livres;Ensino;1,50%;art. 647 RIR/1999;SIM
10.01.01;agenciamento, corretagem ou intermediação de câmbio;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.01.03;agenciamento, corretagem ou intermediação de cartões de crédito;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.01.04;agenciamento, corretagem ou intermediação de planos de saúde;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.01.05;agenciamento, corretagem ou intermediação de planos de previdência privada;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.01.06;agenciamento, corretagem ou intermediação, quando relativos a seguros;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.01.07;agenciamento, corretagem ou intermediação, quando relativos a resseguros;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.02.01;agenciamento, corretagem ou intermediação de títulos em geral ou valores mobiliários;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.02.03;agenciamento, corretagem ou intermediação de contratos quaisquer;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.03.01;agenciamento, corretagem ou intermediação de direitos de propriedade industrial;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.03.02;agenciamento, corretagem ou intermediação de direitos de propriedade artística;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.03.03;agenciamento, corretagem ou intermediação de direitos de propriedade literária;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.04.01;agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing);Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.04.03;agenciamento, corretagem ou intermediação de contratos de faturização (factoring);Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.05.01;agenciamento, corretagem ou intermediação de contratos em mercado de mercadorias e futuros;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.05.02;agenciamento, corretagem ou intermediação de bens móveis;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.05.03;agenciamento, corretagem ou intermediação de bens imóveis;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
10.05.08;intermediação para licenciamento ou cessão do direito de uso de programa de computador;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
10.09.01;representação comercial;Comissões e corretagens ou qualquer outra remuneração pela representação comercial ou pela mediação na realização de negócios;1,50%;art. 651 RIR/1999;SIM
